sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY ( cm);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Satellites in range;Temperature ( °C);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
4.2042;3.802;3.7062;5.1898;4.999;6.6518;-0.9856;-1.197;-2.9455;-0.5192;-0.0464;0.7526;4045.0;-70.32;93.72;41.7;44.96;-36.61;-37.73;8.0;867.63;53.455;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;24991;2014-11-08 13:53:31:995
4.2042;3.802;3.7062;5.1898;4.999;6.6518;-0.9856;-1.197;-2.9455;-0.5192;-0.0464;0.7526;4045.0;-70.32;93.72;41.7;44.96;-36.61;-37.73;8.0;867.63;53.455;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;16187;2014-11-08 13:53:32:001
7.1251;5.7365;2.0111;5.8849;6.5615;4.2995;-0.1867;-2.7978;-1.7808;2.3644;-0.1167;0.3118;1490.0;-72.48;97.08;39.54;38.15;-42.0;-53.85;8.0;867.64;52.422;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;25504;2014-11-08 13:53:32:508
7.1251;5.7365;2.0111;5.8849;6.5615;4.2995;-0.1867;-2.7978;-1.7808;3.3164;-2.9511;0.2993;1490.0;-72.48;97.08;39.54;38.15;-42.0;-53.85;8.0;867.64;52.422;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;16711;2014-11-08 13:53:32:525
-1.1205;0.565;-6.4069;2.6264;6.2529;-7.0833;-3.0574;-5.7549;0.5519;0.5892;-2.4994;-0.5925;636.0;-66.06;105.9;52.56;341.24;-39.61;-159.66;8.0;867.56;47.475;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;26029;2014-11-08 13:53:33:033
-1.1205;0.565;-6.4069;2.6264;6.2529;-7.0833;-3.0574;-5.7549;0.5519;0.5892;-2.4994;-0.5925;636.0;-66.06;105.9;52.56;341.24;-39.61;-159.66;8.0;867.56;47.475;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;17232;2014-11-08 13:53:33:046
-3.2178;1.8962;-6.6559;-2.6728;4.2127;-8.4427;0.0966;-1.4738;0.9345;-0.4282;-0.2062;-0.2297;614.0;-47.82;113.34;68.1;331.81;-25.44;162.43;8.0;867.68;49.178;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;26557;2014-11-08 13:53:33:561
-3.2178;1.8962;-6.6559;-2.6728;4.2127;-8.4427;0.0966;-1.4738;0.9345;-0.4282;-0.2062;-0.2297;614.0;-47.82;113.34;68.1;331.81;-25.44;162.43;8.0;867.68;49.178;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;17756;2014-11-08 13:53:33:570
12.0955;2.6815;-4.6448;6.501;5.198;-5.1854;7.7876;-2.6027;0.1288;-0.9459;1.0415;0.2062;521.0;-44.1;117.06;70.92;11.27;-32.01;-128.58;8.0;867.6;47.405;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;27119;2014-11-08 13:53:34:123
12.0955;2.6815;-4.6448;6.501;5.198;-5.1854;7.7876;-2.6027;0.1288;-0.9459;1.0415;0.2062;521.0;-44.1;117.06;70.92;11.27;-32.01;-128.58;8.0;867.6;47.405;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;18313;2014-11-08 13:53:34:127
13.2256;4.4915;0.2682;8.4039;4.9867;0.8232;5.0132;-1.7689;0.6708;-0.6396;0.0877;-0.0373;640.0;-56.94;115.74;66.24;28.04;-25.83;-87.73;8.0;867.7;48.132;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;27625;2014-11-08 13:53:34:629
13.2256;4.4915;0.2682;8.4039;4.9867;0.8232;5.0132;-1.7689;0.6708;-0.6396;0.0877;-0.0373;640.0;-56.94;115.74;66.24;28.04;-25.83;-87.73;8.0;867.7;48.132;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;18820;2014-11-08 13:53:34:634
8.5808;3.1508;5.0757;7.8176;3.6438;4.6666;0.7632;-0.4931;0.4091;-0.5415;-0.1991;0.4899;910.0;-70.2;106.62;55.32;36.34;-27.89;-61.52;8.0;867.55;46.516;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;28134;2014-11-08 13:53:35:138
8.5808;3.1508;5.0757;7.8176;3.6438;4.6666;0.7632;-0.4931;0.4091;-0.5415;-0.1991;0.4899;910.0;-70.2;106.62;55.32;36.34;-27.89;-61.52;8.0;867.55;46.516;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;19330;2014-11-08 13:53:35:144
8.2073;-1.2258;3.553;7.9432;3.0049;4.9037;-0.0615;-3.9913;-0.2973;0.0437;-0.2199;0.6048;483.0;-75.18;104.28;47.58;35.91;-17.84;-58.31;0.0;867.62;53.922;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;28643;2014-11-08 13:53:35:647
8.2073;-1.2258;3.553;8.1506;1.7985;5.1482;0.0568;-3.0244;-1.5952;0.0437;-0.2199;0.6048;449.0;-75.18;104.28;47.58;35.91;-17.84;-58.31;0.0;867.62;53.922;19.520004;-96.91566;;;154.8387;0 / 0;95.2;87.0;4.073;19866;2014-11-08 13:53:35:680
